Rajzszám;Típus;Megnevezés;Program;Súly/Darab_(kg);Db/Paletta;Db/Doboz;Doboz/Paletta;Zsilip;Hossz (mm);Szél (mm);Mag (mm);Doboz méretei;F9;LF doboz_típusa;darab/_LF doboz;doboz súlya;teli doboz súlya;preferált AKL
CF506CRPAA02;HV SWP;SWP HV ?;;;1920;80;24;;;;;600*400*170;;;;;;AKL2
CF506CRPBC02;HV SWP;SWP HV 17;;;1920;80;24;;;;;600*400*170;;;;;;AKL2
CP500MGG1A01;HV RH;HV 14 DRAGON RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500B5WCB02;HV RH;HV 14 FOX RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500B5WCC02;HV RH;HV 14 2.0 RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500B2PAA01;HV RH;HV14 C2 DV5Neo RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500B2PCD01;HV RH;HV17 C2 DRAGON RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500B2PCE02;HV RH;HV17 C2 DV5Neo RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500A8G1B02;HV RH;HV17 UP375 RH - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
01322901-01;HV FH;HV 14 DRAGON FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
CP500B5W4A01;HV FH;HV 14 FOX FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
01322995-01;HV FH;HV 14 2.0 FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
CP500B2PAB01;HV FH;HV14 C2 DV5Neo FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
CP500B2PCB01;HV FH;HV17 C2 DRAGON FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
CP500B2PCC01;HV FH;HV17 C2 DV5Neo FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
CP500A8G1A01;HV FH;HV17 UP375 FH - IMPREGNÁLT;;;240;16;15;;;;;600*400*270;;;;;;AKL2
01322996-01;HV CYL;HV 14 CILINDER - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
CP500B2PCA01;HV CYL;HV17 CILINDER - IMPREGNÁLT;;;320;16;20;;;;;600*400*220;;;;;;AKL2
;JLR FH;jövőbeni termék;;;;;;;;;;600*400*270;;;;;;AKL2
;JLR RH;jövőbeni termék;;;;;;;;;;600*400*220;;;;;;AKL2
;JLR CYL;jövőbeni termék;;;;;;;;;;600*400*220;;;;;;AKL2
;HMG FH;jövőbeni termék;;;;;;;;;;600*400*270;;;;;;AKL2
;HMG RH;jövőbeni termék;;;;;;;;;;600*400*220;;;;;;AKL2
;HMG CYL;jövőbeni termék;;;;;;;;;;600*400*220;;;;;;AKL2
;;;;;;Darab/_Beszállítói doboz;;;;;;;;;;;;
3M5H-19C889-AA;;Shipping Cap (fekete);VS;0,0074;;900;;;695;395;240;;16;LF322;200;;;AKL1
3M5H-19D659-AA;;Szívószelep;VS;0,0173;;500;;;260;170;150;;36;LF221;200;;;AKL1
3M5H-19D768-AC;;Papucs;VS;0,005;;1000;;;250;160;80;;100;LF221;2000;;;AKL1
3M5H-19D768-BC;;Papucs;VS;0,005;;1000;;;250;160;80;;100;LF221;2000;;;AKL1
3M5H-19D768-CC;;Papucs;VS;0,005;;1000;;;250;160;80;;100;LF221;2000;;;AKL1
3M5H-19D768-DC;;Papucs;VS;0,005;;1000;;;250;160;80;;100;LF221;2000;;;AKL1
3M5H-19D768-EC;;Papucs;VS;0,005;;1000;;;250;160;80;;100;LF221;2000;;;AKL1
3M5H-19D768-FC;;Papucs;VS;0,005;;1000;;;250;160;80;;100;LF221;2000;;;AKL1
3M5H-19D772-AA;;Nyomószelep;VS;0,005296;;1800;;;260;170;150;;36;LF221;1200;;;AKL1
3M5H-19D972-AA;;Filctömítés;VS;0,0007;;5000;;;360;360;360;;5;LF322;500;;;AKL1
3M5H-19D978-AB;;Rugó;VS;0,0045;;1500;;;385;305;280;;8;LF322;200;;;AKL1
3M5H-19D978-CA;;Tányér rugó;VS&HV;0,002;;6000;;;370;275;140;;8;LF221;2000;;;AKL1
CF457B5J1A02;;Muffler;VS&HV;0,008;;1800;;;590;390;265;;15;nincs;1800;;;AKL1
CF507CRPAB02;;Kistűgörgős csapágy;VS&HV;0,003095;;1000;;;180;140;90;;16;LF221;1000;;;AKL1
CF507CRPAC02;;Nagytűgörgős csapágy;VS&HV;0,003095;;400;;;275;185;135;;40;LF322;400;;;AKL1
CF509CRPAA02;;Siklócsapágy;VS&HV;0,043;;1000;;;340;230;110;;1;LF221;500;;;AKL1
CF529CRPAA02;;HUB illesztőpersely;VS&HV;;;500;;;280;240;120;;32;LF321;250;;;AKL1
CF531CRPAA02;;Pozicionáló csap;VS&HV;0,001557;;5500;;;130;120;190;;35;LF221;800;;;AKL1
CF533CRPAA02;;Forgócsap;VS&HV;0,004;;2200;;;130;120;190;;35;LF221;2200;;;AKL1
