Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS
CP500MGG1A01;HV 14 DRAGON RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B5WCB02;HV 14 FOX RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B5WCC02;HV 14 2.0 RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PAA01;HV14 C2 DV5Neo RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PCD01;HV17 C2 DRAGON RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PCE02;HV17 C2 DV5Neo RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500A8G1B02;HV17 UP375 RH - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
01322901-01;HV 14 DRAGON FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B5W4A01;HV 14 FOX FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
01322995-01;HV 14 2.0 FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B2PAB01;HV14 C2 DV5Neo FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B2PCB01;HV17 C2 DRAGON FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500B2PCC01;HV17 C2 DV5Neo FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
CP500A8G1A01;HV17 UP375 FH - IMPREGNÁLT;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
01322996-01;HV 14 CILINDER - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
CP500B2PCA01;HV17 CILINDER - IMPREGNÁLT;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
JLR FH;jövőbeni termék 1;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
JLR RH;jövőbeni termék 2;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
JLR CYL;jövőbeni termék 3;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
HMG FH;jövőbeni termék 4;0;;;;;;MAGAS;16;MAGAS;16;AKL2;;;15;240;;;;;HV;;;
HMG RH;jövőbeni termék 5;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
HMG CYL;jövőbeni termék 6;0;;;;;;ALACSONY;16;ALACSONY;16;AKL2;;;20;320;;;;;HV;;;
